time_step,i,j,seed_0,mean_margin,std_margin
450,0,2,0.7293893098831177,0.7293893098831177,0.0
460,0,2,0.7621482610702515,0.7621482610702515,0.0
470,0,2,0.8035754561424255,0.8035754561424255,0.0
480,0,2,0.7790111303329468,0.7790111303329468,0.0
490,0,2,0.7894676327705383,0.7894676327705383,0.0
500,0,2,0.8104089498519897,0.8104089498519897,0.0
510,0,2,0.8459340333938599,0.8459340333938599,0.0
520,0,2,0.9049045443534851,0.9049045443534851,0.0
530,0,2,0.8297126293182373,0.8297126293182373,0.0
540,0,2,0.849683403968811,0.849683403968811,0.0
550,0,2,0.9162849187850952,0.9162849187850952,0.0
560,0,2,0.8999433517456055,0.8999433517456055,0.0
570,0,2,0.9345393180847168,0.9345393180847168,0.0
580,0,2,0.8935177326202393,0.8935177326202393,0.0
590,0,2,0.9443309307098389,0.9443309307098389,0.0
600,0,2,0.9411067366600037,0.9411067366600037,0.0
